"Примечание для переводчика: когда будете переводить на английский фамилию Кунини, напишите ""Cunnini""                                                                                                                                                                                   Примечание для программиста: Мысли ГГ - то, что в кавычках - выделить другим цветом текст. // Обращай внимание на ЗЕЛЕНЫЕ вставки.                                                                                                                                                                                                                                  Примечание для Музыки/Звуков: читать указания в столбце H, максимально подобрать по характеристикам, если они указаны. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 День;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;"""Я, конечно, слышал, что вилла Pink Star великолепна, но и не предполагал, что настолько! """;;;;;;Звуки: отъезд тачки                                                                Музыка: Улица/Холл/ Коридор ;villa;ГГ стоит, запрокинув голову, смотрит на здание. (В руке кладь, на шее фотоаппарат) ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Ну что, Макс, готов провести шикарную неделю развлечений в мире высокой моды?"" ";;;;;;;villa01;;;;;;;;;;;;;;;;;;;;;
;"""Я слышал рассказы о том, что там делают ванны из просекко. Ванны. Из. Просекко!"" ";;;;;;;villa1 ;ГГ нажимает на кнопку домофона. ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Alfred1;ПРОХОДКА;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Alfred2;ПРОХОДКА;;;;;;;;; ;;;;;;;;;;;
;;;;;;;;Alfred3;ПРОХОДКА;;;;;;;;;;;;;;;;;;;;
;;;;;;;Звуки: домофон ;alfredSmile;Ворота мгновенно открываются, появляется дворецкий с радостным лицом. ;;;;;;;;;;;;;;;;;;;;
Альфред:;Мистер Максимилиан Эванс? ;;;;;;;AlfredSad;При виде ГГ его лицо становится скучающим.;;;;;;;;;;;;;;;;;;;;
ГГ:;Просто Макс. Но да, это я. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред:;Позвольте вашу пригласительную карточку? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Ой. Эм.. Черт. Секунду. ;;;;;;;AlfredSad1;Выражение лица Альфреда становится еще более скучающим, почти унылм. ;;;;;;;;;;;;;;;;;;;;
;Я не думал, что она может понадобиться. Минутку. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Она была.. Да где же она? Сейчас. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Мне никто не говорил, что она понадобится, поэтому я ..;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;А! Удача. Вот, держите. ;;;;;;;card;ГГ протягивает изрядно помятную розовую карточку Альфреду. Дворецкий берет ее двумя пальцами. ;;;;;;;;;;;;;;;;;;;;
Альфред:;И это ваше.. приглашение?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Да, я ж говорю, что не знал, что его надо хранить, а потом на входе вам показывать. ;;;;;;;MaxSmiles; ;;;;;;;;;;;;;;;;;;;;
Альфред:;Проходите, Мистер Эванс. Позвольте вашу сумку.;;;;;;;AlfredHand;Альф уступает дорогу гг, протягивает руку, чтоб забрать сумку ;;;;;;;;;;;;;;;;;;;;
ГГ:;Макс. Зовите меня просто Макс. Нет необходимости. Я сам занесу. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред:;Ваша комната на втором этаже. А вы устали с дороги. ;;;;;;;AlfredSad2;У Альфреда скучающее лицо, он чуть кланяется, гг проходит мимо него ;;;;;;;;;;;;;;;;;;;;
ГГ:;Думаю, что справлюсь. Спасибо. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Кстати, как я могу к вам обращаться? ;;;;;;;MaxWait;ГГ останавливается рядом с Альфредом, смотрит на него, ждет ответа ;;;;;;;;;;;;;;;;;;;;
Вилла. Холл ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред:;Зовите меня Альфред. ;;;;;;Музыка: Улица/Холл/ Коридор;AlfredMaxGo1;ГГ и Альфред заходят в дом. Поднимаются по лестнице. ;;;;;;;;;;;;;;;;;;;;
ГГ:;Здесь очень красиво. У Эдварда отличный вкус. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред:;Еще бы. Он ведь владелец лучшего в стране дома моды.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
