День 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.Вход в клуб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Музыка: receptionBgm;DreamBody; Массивная дверь, вывеска Dream body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;Эх, Черт возьми! Ну и жара сегодня. Припекает так, будто я стою перед дверью в ад.;;;;;;;DreamBody1;ГГ смотрит на часы на руке. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Может это не случайность? Всю неделю было свежо, прохладно, а сегодня.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Прекрати, ты же понимаешь, что это звучит как отговорка.""   ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Просто открой ее. Ну открой. Давай. Открывай. Ну!"" ";;;;;;;DreamBody2;ГГ смотрит на дверь.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Примени технику успокаивающего дыхания - шиитали. И возьми себя в руки.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Ничего сложного. Вдох. Потяни вниз за ручку. Выдох. Еще разок вдох и пошли."" ";;;;;;Звук: ПростоДверьОткр;DreamBody3;гг открывает дверь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Фитнес клуб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02. У двери. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Это ведь не первое твое собеседование."" ";;;;;;"Музыка: receptionBgm
";Reception;Ресепшн находится в отдалении от входа. ГГ видит девушку,которая увлеченно смотрит в экран ноутбука ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Допустим, спросят тебя: Как ты определяешь, есть ли у клиента бедро танцора?"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я отвечу - на слух. Ногу вверх до хруста в суставе. Хах. ;;;;;;;Reception1;ГГ чешет затылок, хмурит брови. Рэйч заметила гг, смотрит в его сторону, улыбается ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Да, шутить мы точно не будем. Отвратительно.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Шанс, что нас попросят удалиться с такими шутками, растет в космической прогрессии."" ";;;;;;;Reception2;тот же стат, гг разводит руками, как бы рассуждая про себя. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Ты ведь крутой специалист."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""5 лет практики в индии за плечами! Великий гуру Вишал наставлял тебя. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Теперь будь максимально серьезным и уверенным.""  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;О Боже, мне кажется, я насквозь мокрый! ;;;;;;;Reception3;ГГ смотрит на свою рубашку, на которой мокрые пятна в районе груди.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Надо что-то сделать с этим. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Для начала перестань паниковать."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Надо было выбирать другую рубашку. У меня же была темная. Какой же я болван! ;;;;;;;Reception4;тот же стать, только Рэйч с сомнением глядит на гг - подняла бровь ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Адам, она начинает смотреть на тебя с подозрением."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Еще минута промедления и она решит, что ты чокнутый и надо звать охрану. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Если я сразу пойду в уборную, она решит, что у меня проблемы с каким-нибудь недержанием.;;;;;;;Reception5;ГГ подходит к стойке, он нервно улыбается, Рэйч тоже улыбается, готовая к диалогу;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
