Reception.Sam: Sam
Reception.Alex: Alex
Reception.Chris: Chris
Reception.Jordan: Jordan
Reception.Taylor: Taylor
Reception.Morgan: Morgan
Reception.Riley: Riley
Reception.Cameron: Cameron
Reception.Dakota: Dakota
Reception.Jesse: Jesse
Reception.Skyler: Skyler
Reception.Avery: Avery
Reception.Devon: Devon
Reception.Payton: Payton
Reception.Quinn: Quinn
Reception.Reese: Reese
Reception.Kendall: Kendall
Reception.Drew: Drew
Reception.Hayden: Hayden
Reception.Sage: Sage
Reception.Rowan: Rowan
Reception.Parker: Parker  
Reception.Finley: Finley
Reception.Emerson: Emerson
Reception.Lennon: Lennon
Reception.Remy: Remy
Reception.Elliot: Elliot
Reception.Blake: Blake
Reception.Jamie: Jamie
